file_type,file_number,file_date,documents,documents_xml,interactive_data,filing_number
10-Q,001-3674318985212,2018-08-01,https://www.sec.gov/Archives/edgar/data/320193/000032019318000100/0000320193-18-000100-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019318000100/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0000320193-18-000100&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-3674318800115,2018-05-02,https://www.sec.gov/Archives/edgar/data/320193/000032019318000070/0000320193-18-000070-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019318000070/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0000320193-18-000070&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-3674318568703,2018-02-02,https://www.sec.gov/Archives/edgar/data/320193/000032019318000007/0000320193-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019318000007/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0000320193-18-000007&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-36743171000359,2017-08-02,https://www.sec.gov/Archives/edgar/data/320193/000032019317000009/0000320193-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019317000009/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0000320193-17-000009&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-3674317809653,2017-05-03,https://www.sec.gov/Archives/edgar/data/320193/000162828017004790/0001628280-17-004790-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000162828017004790/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001628280-17-004790&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-3674317565317,2017-02-01,https://www.sec.gov/Archives/edgar/data/320193/000162828017000717/0001628280-17-000717-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000162828017000717/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001628280-17-000717&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-36743161787078,2016-07-27,https://www.sec.gov/Archives/edgar/data/320193/000162828016017809/0001628280-16-017809-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000162828016017809/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001628280-16-017809&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-36743161595799,2016-04-27,https://www.sec.gov/Archives/edgar/data/320193/000119312516559625/0001193125-16-559625-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312516559625/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001193125-16-559625&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-36743161365395,2016-01-27,https://www.sec.gov/Archives/edgar/data/320193/000119312516439878/0001193125-16-439878-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312516439878/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001193125-16-439878&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-36743151000501,2015-07-22,https://www.sec.gov/Archives/edgar/data/320193/000119312515259935/0001193125-15-259935-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515259935/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001193125-15-259935&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-3674315799362,2015-04-28,https://www.sec.gov/Archives/edgar/data/320193/000119312515153166/0001193125-15-153166-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515153166/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001193125-15-153166&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-3674315555294,2015-01-28,https://www.sec.gov/Archives/edgar/data/320193/000119312515023697/0001193125-15-023697-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515023697/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001193125-15-023697&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,000-1003014989142,2014-07-23,https://www.sec.gov/Archives/edgar/data/320193/000119312514277160/0001193125-14-277160-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312514277160/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001193125-14-277160&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003014782284,2014-04-24,https://www.sec.gov/Archives/edgar/data/320193/000119312514157311/0001193125-14-157311-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312514157311/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001193125-14-157311&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003014553777,2014-01-28,https://www.sec.gov/Archives/edgar/data/320193/000119312514024487/0001193125-14-024487-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312514024487/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001193125-14-024487&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003013984130,2013-07-24,https://www.sec.gov/Archives/edgar/data/320193/000119312513300670/0001193125-13-300670-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312513300670/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001193125-13-300670&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003013777542,2013-04-24,https://www.sec.gov/Archives/edgar/data/320193/000119312513168288/0001193125-13-168288-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312513168288/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001193125-13-168288&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003013546136,2013-01-24,https://www.sec.gov/Archives/edgar/data/320193/000119312513022339/0001193125-13-022339-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312513022339/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001193125-13-022339&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003012979262,2012-07-25,https://www.sec.gov/Archives/edgar/data/320193/000119312512314552/0001193125-12-314552-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312512314552/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001193125-12-314552&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003012780280,2012-04-25,https://www.sec.gov/Archives/edgar/data/320193/000119312512182321/0001193125-12-182321-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312512182321/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001193125-12-182321&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003012545140,2012-01-25,https://www.sec.gov/Archives/edgar/data/320193/000119312512023398/0001193125-12-023398-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312512023398/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001193125-12-023398&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003011977855,2011-07-20,https://www.sec.gov/Archives/edgar/data/320193/000119312511192493/0001193125-11-192493-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312511192493/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001193125-11-192493&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003011771917,2011-04-21,https://www.sec.gov/Archives/edgar/data/320193/000119312511104388/0001193125-11-104388-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312511104388/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001193125-11-104388&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003011536124,2011-01-19,https://www.sec.gov/Archives/edgar/data/320193/000119312511010144/0001193125-11-010144-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312511010144/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001193125-11-010144&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003010962699,2010-07-21,https://www.sec.gov/Archives/edgar/data/320193/000119312510162840/0001193125-10-162840-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312510162840/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001193125-10-162840&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003010762128,2010-04-21,https://www.sec.gov/Archives/edgar/data/320193/000119312510088957/0001193125-10-088957-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312510088957/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001193125-10-088957&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
